trip_id,arrival_time,departure_time,stop_id,stop_sequence
ABt1,8:00:00,8:00:00,A,1
ABt1,8:03:00,8:03:00,B,2
ACt1,8:00:00,8:00:00,A,1
ACt1,8:10:00,8:10:00,C,2
BC1t1,8:03:00,8:03:00,B,1
BC1t1,8:11:00,8:11:00,C,2
BC2t1,8:03:00,8:03:00,B,1
BC2t1,8:13:00,8:13:00,C,2
BC3t1,8:03:00,8:03:00,B,1
BC3t1,8:33:00,8:33:00,C,2
BC4t1,8:03:00,8:03:00,B,1
BC4t1,8:33:00,8:33:00,C,2
BC5t1,8:03:00,8:03:00,B,1
BC5t1,8:33:00,8:33:00,C,2
BC6t1,8:03:00,8:03:00,B,1
BC6t1,8:33:00,8:33:00,C,2
BC7t1,8:03:00,8:03:00,B,1
BC7t1,8:33:00,8:33:00,C,2
BC8t1,8:03:00,8:03:00,B,1
BC8t1,8:33:00,8:33:00,C,2
BC9t1,8:03:00,8:03:00,B,1
BC9t1,8:33:00,8:33:00,C,2
BC10t1,8:03:00,8:03:00,B,1
BC10t1,8:33:00,8:33:00,C,2
BC11t1,8:03:00,8:03:00,B,1
BC11t1,8:33:00,8:33:00,C,2
BC12t1,8:03:00,8:03:00,B,1
BC12t1,8:33:00,8:33:00,C,2
BC13t1,8:03:00,8:03:00,B,1
BC13t1,8:33:00,8:33:00,C,2
BC14t1,8:03:00,8:03:00,B,1
BC14t1,8:33:00,8:33:00,C,2
BC15t1,8:03:00,8:03:00,B,1
BC15t1,8:33:00,8:33:00,C,2
BC16t1,8:03:00,8:03:00,B,1
BC16t1,8:33:00,8:33:00,C,2
BC17t1,8:03:00,8:03:00,B,1
BC17t1,8:33:00,8:33:00,C,2
BC18t1,8:03:00,8:03:00,B,1
BC18t1,8:33:00,8:33:00,C,2
BC19t1,8:03:00,8:03:00,B,1
BC19t1,8:33:00,8:33:00,C,2
BC20t1,8:03:00,8:03:00,B,1
BC20t1,8:33:00,8:33:00,C,2
