purpose user_class  demand_mode_type  demand_mode  supply_mode    weight_name            weight_value
work    lowinc      transfer          transfer     transfer       walk_time_min          0.04
work    lowinc      transfer          transfer     transfer       transfer_penalty       0.24
work    lowinc      access            walk         walk_access    depart_early_min       0.24
work    lowinc      access            walk         walk_access    depart_late_min        0.04
work    lowinc      access            PNR          PNR_access     walk_time_min          0.04
work    lowinc      access            PNR          PNR_access     drive_travel_time_min  0.03
work    lowinc      egress            walk         walk_egress    time_min               0.04
work    lowinc      egress            walk         walk_egress    arrive_early_min       0.00
work    lowinc      egress            walk         walk_egress    arrive_late_min        0.04
work    lowinc      transit           transit      local_bus      wait_time_min          0.05
work    lowinc      transit           transit      premium_bus    in_vehicle_time_min    0.02
work    lowinc      transit           transit      premium_bus    wait_time_min          0.04
work    lowinc      transit           transit      commuter_rail  in_vehicle_time_min    0.02
work    lowinc      transit           transit      commuter_rail  wait_time_min          0.04
work    medhighinc  transfer          transfer     transfer       walk_time_min          0.058
work    medhighinc  transfer          transfer     transfer       transfer_penalty       0.24
work    medhighinc  access            walk         walk_access    time_min               0.042
work    medhighinc  access            walk         walk_access    depart_early_min       0.48
work    medhighinc  access            walk         walk_access    depart_late_min        0.038
work    medhighinc  egress            walk         walk_egress    time_min               0.042
work    medhighinc  egress            PNR          PNR_egress     drive_travel_time_min  0.032
work    medhighinc  transit           transit      local_bus      in_vehicle_time_min    0.042
work    medhighinc  egress            walk         walk_egress    arrive_early_min       0.00
work    medhighinc  egress            walk         walk_egress    arrive_late_min        0.04
work    medhighinc  transit           transit      premium_bus    wait_time_min          0.042
work    medhighinc  transit           transit      commuter_rail  in_vehicle_time_min    0.022
work    medhighinc  transit           transit      commuter_rail  wait_time_min          0.042
social  lowinc      transfer          transfer     transfer       walk_time_min          0.04
social  lowinc      transfer          transfer     transfer       transfer_penalty       0.24
social  lowinc      access            walk         walk_access    time_min               0.04
social  lowinc      access            PNR          PNR_access     walk_time_min          0.04
social  lowinc      access            PNR          PNR_access     drive_travel_time_min  0.03
social  lowinc      access            walk         walk_access    depart_early_min       0.04
social  lowinc      access            walk         walk_access    depart_late_min        0.04
social  lowinc      egress            PNR          PNR_egress     drive_travel_time_min  0.03
social  lowinc      transit           transit      local_bus      in_vehicle_time_min    0.02
social  lowinc      transit           transit      local_bus      wait_time_min          0.05
social  lowinc      transit           transit      premium_bus    in_vehicle_time_min    0.02
social  lowinc      egress            walk         walk_egress    arrive_early_min       0.038
social  lowinc      egress            walk         walk_egress    arrive_late_min       0.038
social  lowinc      transit           transit      commuter_rail  wait_time_min          0.04
social  medhighinc  transfer          transfer     transfer       walk_time_min          0.062
social  medhighinc  transfer          transfer     transfer       transfer_penalty       0.24
social  medhighinc  access            walk         walk_access    time_min               0.042
social  medhighinc  access            PNR          PNR_access     walk_time_min          0.042
social  medhighinc  access            PNR          PNR_access     drive_travel_time_min  0.032
social  medhighinc  egress            walk         walk_egress    time_min               0.042
social  medhighinc  access            walk         walk_access    depart_early_min       0.048
social  medhighinc  access            walk         walk_access    depart_late_min        0.048
social  medhighinc  transit           transit      local_bus      wait_time_min          0.052
social  medhighinc  transit           transit      premium_bus    in_vehicle_time_min    0.022
social  medhighinc  transit           transit      premium_bus    wait_time_min          0.042
social  medhighinc  transit           transit      commuter_rail  in_vehicle_time_min    0.022
social  medhighinc  egress            walk         walk_egress    arrive_early_min       0.039
social  medhighinc  egress            walk         walk_egress    arrive_late_min        0.039
