person_id,hh_id,age,gender,work_status,work_at_home,multiple_jobs,transit_pass,disability
27_1,27,20,female,unemployed,0,none,1,none
73_1,73,79,male,unemployed,0,none,0,none
178_1,178,59,female,full-time,0,none,1,none
65_4,65,21,female,full-time,0,none,1,none
229_1,229,51,female,full-time,0,none,0,none
201_1,201,56,male,full-time,0,none,1,none
335_3,335,24,female,full-time,0,none,0,none
265_2,265,43,female,full-time,0,none,1,none
364_2,364,63,male,full-time,0,none,1,none
348_1,348,76,male,full-time,0,none,1,none
394_1,394,44,male,full-time,0,none,0,none
428_1,428,57,male,full-time,0,none,0,none
437_1,437,53,male,full-time,0,none,1,none
475_1,475,44,male,full-time,0,none,1,none
645_2,645,23,female,full-time,0,none,1,none
647_1,647,21,male,full-time,0,none,1,none
633_2,633,22,female,full-time,0,none,0,none
798_1,798,56,male,full-time,0,none,0,none
1072_1,1072,54,female,full-time,0,none,0,none
1054_1,1054,29,male,full-time,0,none,1,none
758_1,758,58,male,full-time,0,none,1,none
762_1,762,52,male,full-time,0,none,0,none
1102_3,1102,29,male,full-time,0,none,1,none
1084_2,1084,33,female,full-time,0,none,1,none
1029_1,1029,20,female,full-time,0,none,1,none
1105_1,1105,44,female,full-time,0,none,1,none
1129_1,1129,55,female,full-time,0,none,1,none
1177_1,1177,63,female,full-time,0,none,1,none
1125_3,1125,35,male,full-time,0,none,0,none
1196_1,1196,49,female,full-time,0,none,1,none
1186_1,1186,50,male,full-time,0,none,0,none
1243_1,1243,25,male,full-time,0,none,1,none
1444_1,1444,28,female,unemployed,0,none,1,none
1210_2,1210,52,female,full-time,0,none,1,none
1210_1,1210,50,male,full-time,0,none,1,none
1267_2,1267,27,male,full-time,0,none,1,none
1543_1,1543,34,male,full-time,0,none,1,none
1664_1,1664,38,female,full-time,0,none,1,none
1710_1,1710,28,female,full-time,0,none,0,none
1603_1,1603,33,male,full-time,0,none,1,none
1556_1,1556,50,female,full-time,1,none,1,none
1587_1,1587,55,female,full-time,0,none,0,none
1595_1,1595,45,male,full-time,0,none,0,none
