fare_id,route_id,origin_id,destination_id,contains_id
METRO_1Z,1_1001,4,4,
METRO_1Z,1_1002,4,4,
METRO_1Z,1_1003,4,4,
METRO_1Z,1_1004,4,4,
METRO_1Z,1_1005,4,4,
METRO_2Z,1_1005,3,4,
METRO_1Z,1_1005,3,3,
METRO_2Z,1_1005,4,3,
METRO_1Z,1_1007,4,4,
METRO_1Z,1_1008,4,4,
METRO_1Z,1_1009,4,4,
METRO_1Z,1_1010,4,4,
METRO_1Z,1_1011,4,4,
METRO_1Z,1_1012,4,4,
METRO_1Z,1_1013,4,4,
METRO_1Z,1_1014,4,4,
METRO_1Z,1_1015,4,4,
METRO_1Z,1_1016,4,4,
METRO_1Z,1_1017,4,4,
METRO_1Z,1_1018,4,4,
METRO_1Z,1_1019,4,4,
METRO_1Z,1_1021,4,4,
METRO_1Z,1_1022,4,4,
METRO_2Z,1_1022,3,4,
METRO_1Z,1_1022,3,3,
METRO_2Z,1_1022,4,3,
METRO_1Z,1_1023,4,4,
METRO_2Z,1_1023,3,4,
METRO_1Z,1_1023,3,3,
METRO_2Z,1_1023,4,3,
METRO_1Z,1_1024,4,4,
METRO_1Z,1_1025,4,4,
METRO_1Z,1_1026,4,4,
METRO_1Z,1_1027,4,4,
METRO_1Z,1_1028,4,4,
METRO_2Z,1_1028,3,4,
METRO_1Z,1_1028,3,3,
METRO_2Z,1_1028,4,3,
METRO_1Z,1_1030,4,4,
METRO_1Z,1_1031,4,4,
METRO_1Z,1_1033,4,4,
METRO_1Z,1_1034,4,4,
METRO_1Z,1_1035,4,4,
METRO_1Z,1_1036,4,4,
METRO_1Z,1_1037,4,4,
METRO_1Z,1_1038,4,4,
METRO_1Z,1_1039,4,4,
METRO_1Z,1_1041,4,4,
METRO_1Z,1_1042,4,4,
METRO_1Z,1_1043,4,4,
METRO_1Z,1_1044,4,4,
METRO_1Z,1_1045,4,4,
METRO_1Z,1_1046,4,4,
METRO_1Z,1_1048,4,4,
METRO_1Z,1_1049,4,4,
METRO_1Z,1_1051,4,4,
METRO_1Z,1_1053,4,4,
METRO_1Z,1_1054,4,4,
METRO_2Z,1_1054,3,4,
METRO_1Z,1_1054,3,3,
METRO_2Z,1_1054,4,3,
METRO_1Z,1_1055,4,4,
METRO_1Z,1_1056,4,4,
METRO_1Z,1_1057,4,4,
METRO_1Z,1_1060,4,4,
METRO_2Z,1_1060,3,4,
METRO_1Z,1_1060,3,3,
METRO_2Z,1_1060,4,3,
METRO_1Z,1_1064,4,4,
METRO_1Z,1_1065,4,4,
METRO_2Z,1_1065,3,4,
METRO_1Z,1_1065,3,3,
METRO_2Z,1_1065,4,3,
METRO_1Z,1_1066,4,4,
METRO_1Z,1_1067,4,4,
METRO_1Z,1_1068,4,4,
METRO_1Z,1_1070,4,4,
METRO_1Z,1_1071,4,4,
METRO_1Z,1_1072,4,4,
METRO_1Z,1_1073,4,4,
METRO_2Z,1_1073,3,4,
METRO_1Z,1_1073,3,3,
METRO_2Z,1_1073,4,3,
METRO_1Z,1_1074,4,4,
METRO_1Z,1_1075,4,4,
METRO_1Z,1_1076,4,4,
METRO_1Z,1_1077,4,4,
METRO_2Z,1_1077,3,4,
METRO_1Z,1_1077,3,3,
METRO_1Z,1_1079,4,4,
METRO_1Z,1_1098,4,4,
METRO_1Z,1_1099,4,4,
METRO_1Z,1_1101,4,4,
METRO_2Z,1_1101,3,4,
METRO_1Z,1_1101,3,3,
METRO_2Z,1_1101,4,3,
METRO_1Z,1_1102,4,4,
METRO_2Z,1_1102,3,4,
METRO_1Z,1_1102,3,3,
METRO_1Z,1_1105,3,3,
METRO_1Z,1_1106,4,4,
METRO_2Z,1_1106,3,4,
METRO_1Z,1_1106,3,3,
METRO_2Z,1_1106,4,3,
METRO_1Z,1_1107,4,4,
METRO_2Z,1_1107,3,4,
METRO_1Z,1_1107,3,3,
METRO_2Z,1_1107,4,3,
METRO_1Z,1_1110,3,3,
METRO_1Z,1_1111,4,4,
METRO_2Z,1_1111,3,4,
METRO_1Z,1_1111,3,3,
METRO_1Z,1_1113,4,4,
METRO_2Z,1_1113,3,4,
METRO_1Z,1_1113,3,3,
METRO_2Z,1_1113,4,3,
METRO_1Z,1_1114,4,4,
METRO_2Z,1_1114,3,4,
METRO_1Z,1_1114,3,3,
METRO_1Z,1_1116,4,4,
METRO_1Z,1_1118,3,3,
METRO_1Z,1_1118,3,3006,
METRO_1Z,1_1118,3006,3006,
METRO_1Z,1_1118,4010,4010,
METRO_1Z,1_1118,3,4010,
METRO_1Z,1_1118,4,4,
METRO_1Z,1_1118,3006,4010,
METRO_1Z,1_1118,3006,4,
METRO_2Z,1_1118,3,4,
METRO_1Z,1_1118,4010,4,
METRO_1Z,1_1118,3006,3,
METRO_1Z,1_1119,3,3,
METRO_1Z,1_1119,3,3006,
METRO_1Z,1_1119,3006,3006,
METRO_1Z,1_1119,4010,4010,
METRO_1Z,1_1119,3,4010,
METRO_1Z,1_1119,4,4,
METRO_1Z,1_1119,3006,4010,
METRO_1Z,1_1119,3006,4,
METRO_2Z,1_1119,3,4,
METRO_1Z,1_1119,4010,4,
METRO_1Z,1_1119,3006,3,
METRO_1Z,1_1120,4,4,
METRO_2Z,1_1120,3,4,
METRO_1Z,1_1120,3,3,
METRO_2Z,1_1120,4,3,
METRO_1Z,1_1121,4,4,
METRO_2Z,1_1121,3,4,
METRO_1Z,1_1121,3,3,
METRO_2Z,1_1121,4,3,
METRO_1Z,1_1122,4,4,
METRO_2Z,1_1122,3,4,
METRO_1Z,1_1122,3,3,
METRO_1Z,1_1123,4,4,
METRO_2Z,1_1123,3,4,
METRO_1Z,1_1123,3,3,
METRO_1Z,1_1124,4,4,
METRO_2Z,1_1124,3,4,
METRO_1Z,1_1124,3,3,
