from_fare_class,to_fare_class,is_flat_fee,transfer_rule
BAIN_SEA_FERRY,BREM_PO_FERRY,1,1
BAIN_SEA_FERRY,BREM_SEA_FERRY,1,1
BAIN_SEA_FERRY,CT_COMMUTER,1,1
BAIN_SEA_FERRY,CT_LOCAL,1,1
BAIN_SEA_FERRY,CT_NE_COMMUTER,1,1
BAIN_SEA_FERRY,EDMONDS_KINGSTON_FERRY,1,1
BAIN_SEA_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
BAIN_SEA_FERRY,FOUNT_VASHON_FERRY,1,1
BAIN_SEA_FERRY,KINGSTON_EDMONDS_FERRY,1,1
BAIN_SEA_FERRY,KITSAP,1,1
BAIN_SEA_FERRY,METRO_1Z_AM_PEAK,1,1
BAIN_SEA_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
BAIN_SEA_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
BAIN_SEA_FERRY,METRO_1Z_PM_PEAK,1,1
BAIN_SEA_FERRY,METRO_2Z_AM_PEAK,1,1
BAIN_SEA_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
BAIN_SEA_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
BAIN_SEA_FERRY,METRO_2Z_PM_PEAK,1,1
BAIN_SEA_FERRY,MONORAIL,1,1
BAIN_SEA_FERRY,PIERCE,1,1
BAIN_SEA_FERRY,PTDEF_VASHION_FERRY,1,1
BAIN_SEA_FERRY,SEATTLE_VASHON_FERRY,1,1
BAIN_SEA_FERRY,SEA_BAIN_FERRY,1,1
BAIN_SEA_FERRY,SEA_BREM_FERRY,1,1
BAIN_SEA_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
BAIN_SEA_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
BAIN_SEA_FERRY,ST_EXPRESS_1Z,1,1
BAIN_SEA_FERRY,ST_EXPRESS_2Z,1,1
BAIN_SEA_FERRY,ST_LR_1Z,1,1
BAIN_SEA_FERRY,ST_LR_2Z,1,1
