route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1_1001,PSRC,MK001,1 KINNEAR-SEA CBD SB,,3
1_1002,PSRC,MK002,2 W Q ANN-MADRONA SB,,3
1_1003,PSRC,MK003,3 N Q ANNE-MDRONA SB,,3
1_1004,PSRC,MK004,4 E Q AN-JUDKN PK SB,,3
1_1005,PSRC,MK005,5 SH CC-GRWD-SCBD SB,,3
1_1007,PSRC,MK007,7 RNR BCH-SCBD EX NB,,3
1_1008,PSRC,MK008,8 SEACTR-CAP-RANR NB,,3
1_1009,PSRC,MK009,9 RAINR BCH-BRDWY NB,,3
1_1010,PSRC,MK010,10 CAP HILL-SCBD SB,,3
1_1011,PSRC,MK011,11 MADISN PK-SCBD SB,,3
1_1012,PSRC,MK012,12 CAP HILL-SCBD SB,,3
1_1013,PSRC,MK013,13 SPU-SEA CBD SB,,3
1_1014,PSRC,MK014,14 SUMMIT-MT BAKR SB,,3
1_1015,PSRC,MK015,15 CROWN HLL-SCBD SB,,3
1_1016,PSRC,MK016,16 NGT-WLFRD-SCBD SB,,3
1_1017,PSRC,MK017,17 LYLH-BLRD-SCBD SB,,3
1_1018,PSRC,MK018,18 LOYAL HTS-SCBD SB,,3
1_1019,PSRC,MK019,19 W MAGNOLIA-CBD S*,,3
1_1021,PSRC,MK021,21 ARBOR HTS-SCBD NB,,3
1_1022,PSRC,MK022,22 WHITE CTR-SCBD NB,,3
1_1023,PSRC,MK023,23 WHITE CTR-SCBD NB,,3
1_1024,PSRC,MK024,24 MAGNOLIA-SCBD SB,,3
1_1025,PSRC,MK025,25 LRLHST-UW-SCBD SB,,3
1_1026,PSRC,MK026,26 E GRNLK-SEACBD SB,,3
1_1027,PSRC,MK027,27 COLMAN PK-SCBD NB,,3
1_1028,PSRC,MK028,28 WHTIR HTS-SCBD SB,,3
1_1030,PSRC,MK030,30 Sand Point to U *,,3
1_1031,PSRC,MK031,31 UW-FRMNT-MAGNL EB,,3
1_1033,PSRC,MK033,33 MAGNLIA-SEACBD SB,,3
1_1034,PSRC,MK034,34 RNR BC-SCBD EX N*,,3
1_1035,PSRC,MK035,35 HARBOR IS-SCBD S*,,3
