route_id,mode,proof_of_payment
1_1001,local_bus,0
1_1002,local_bus,0
1_1003,local_bus,0
1_1004,local_bus,0
1_1005,local_bus,0
1_1007,local_bus,0
1_1008,local_bus,0
1_1009,premium_bus,0
1_1010,local_bus,0
1_1011,local_bus,0
1_1012,local_bus,0
1_1013,local_bus,0
1_1014,local_bus,0
1_1015,local_bus,0
1_1016,local_bus,0
1_1017,local_bus,0
1_1018,local_bus,0
1_1019,local_bus,0
1_1021,local_bus,0
1_1022,local_bus,0
1_1023,local_bus,0
1_1024,local_bus,0
1_1025,local_bus,0
1_1026,local_bus,0
1_1027,local_bus,0
1_1028,local_bus,0
1_1030,local_bus,0
1_1031,local_bus,0
1_1033,local_bus,0
1_1034,premium_bus,0
1_1035,local_bus,0
1_1036,local_bus,0
1_1037,premium_bus,0
1_1038,local_bus,0
1_1039,local_bus,0
1_1041,local_bus,0
1_1042,local_bus,0
1_1043,local_bus,0
1_1044,local_bus,0
1_1045,premium_bus,0
1_1046,local_bus,0
1_1048,local_bus,0
1_1049,local_bus,0
1_1051,local_bus,0
1_1053,local_bus,0
1_1054,premium_bus,0
1_1055,local_bus,0
1_1056,local_bus,0
1_1057,local_bus,0
1_1060,local_bus,0
1_1064,premium_bus,0
1_1065,local_bus,0
1_1066,premium_bus,0
1_1067,local_bus,0
1_1068,local_bus,0
1_1070,local_bus,0
1_1071,premium_bus,0
1_1072,premium_bus,0
1_1073,premium_bus,0
1_1074,premium_bus,0
1_1075,local_bus,0
1_1076,local_bus,0
1_1077,premium_bus,0
1_1079,premium_bus,0
1_1098,local_bus,0
1_1099,local_bus,0
1_1101,local_bus,0
1_1102,local_bus,0
1_1105,local_bus,0
1_1106,local_bus,0
1_1107,local_bus,0
1_1110,local_bus,0
1_1111,local_bus,0
1_1113,local_bus,0
1_1114,local_bus,0
1_1116,premium_bus,0
1_1118,local_bus,0
1_1119,local_bus,0
1_1120,local_bus,0
1_1121,local_bus,0
1_1122,local_bus,0
1_1123,premium_bus,0
1_1124,local_bus,0
1_1125,local_bus,0
1_1128,local_bus,0
1_1129,local_bus,0
1_1131,local_bus,0
1_1132,local_bus,0
1_1133,local_bus,0
1_1134,local_bus,0
1_1139,local_bus,0
1_1140,local_bus,0
1_1143,premium_bus,0
1_1148,local_bus,0
1_1149,local_bus,0
1_1150,local_bus,0
1_1152,local_bus,0
1_1153,local_bus,0
