from_stop_id,to_stop_id,transfer_type,min_transfer_time
65545,65588,0,
65588,65545,0,
65545,66021,0,
66021,65545,0,
64725,65545,0,
64322,65545,0,
65427,65545,0,
65555,66245,0,
66245,65555,0,
66252,65555,0,
66254,65555,0,
65555,66263,0,
66263,65555,0,
66270,65555,0,
65555,66275,0,
66275,65555,0,
65555,66278,0,
66278,65555,0,
65555,66286,0,
66286,65555,0,
66670,65555,0,
131095,131583,0,
131095,130369,0,
65564,65572,0,
65572,65564,0,
65771,65564,0,
65564,66275,0,
66275,65564,0,
65564,66278,0,
66278,65564,0,
65564,66286,0,
66286,65564,0,
66294,65564,0,
65564,66303,0,
66303,65564,0,
65564,66305,0,
66305,65564,0,
65564,66311,0,
66311,65564,0,
65564,66315,0,
66315,65564,0,
65564,64803,0,
64803,65564,0,
65564,65068,0,
65068,65564,0,
98333,183816,0,
183816,98333,0,
98333,97141,0,
97141,98333,0,
96813,98333,0,
98333,96838,0,
96838,98333,0,
98333,96841,0,
96841,98333,0,
97342,98333,0,
98333,97730,0,
97730,98333,0,
98333,98045,0,
98045,98333,0,
65771,65572,0,
65572,65870,0,
65870,65572,0,
65572,65599,0,
65599,65572,0,
66275,65572,0,
66278,65572,0,
66286,65572,0,
66294,65572,0,
65572,66303,0,
66303,65572,0,
65572,66305,0,
66305,65572,0,
65572,66311,0,
66311,65572,0,
65572,66315,0,
66315,65572,0,
65572,66367,0,
66367,65572,0,
65572,66688,0,
66688,65572,0,
65572,64670,0,
64670,65572,0,
65572,64888,0,
64888,65572,0,
65572,65241,0,
65241,65572,0,
65572,65480,0,
65480,65572,0,
131121,131109,0,
131109,131140,0,
131140,131109,0,
131109,131346,0,
131346,131109,0,
131109,131414,0,
131414,131109,0,
131109,131616,0,
131109,131692,0,
131692,131109,0,
131109,199215,0,
199215,131109,0,
131109,199222,0,
199222,131109,0,
131109,199347,0,
199347,131109,0,
131109,199398,0,
199398,131109,0,
131109,199216,0,
199216,131109,0,
32806,33555,0,
32806,33913,0,
32806,32675,0,
32806,32694,0,
163884,163900,0,
163884,163911,0,
163884,164476,0,
163884,165148,0,
163884,164470,0,
163884,162676,0,
162676,163884,0,
163884,162715,0,
162715,163884,0,
163884,162840,0,
163884,163026,0,
185693,185694,0,
185694,185693,0,
186173,185693,0,
185693,93515,0,
93515,185693,0,
93799,185693,0,
185693,94135,0,
94135,185693,0,
185693,94775,0,
94775,185693,0,
185693,94937,0,
94937,185693,0,
185693,95680,0,
95680,185693,0,
131121,131140,0,
131121,131152,0,
131152,131121,0,
131167,131121,0,
131121,131346,0,
131121,131414,0,
131121,131616,0,
131121,131692,0,
131121,199215,0,
199215,131121,0,
131121,199222,0,
199222,131121,0,
131121,199347,0,
199347,131121,0,
131121,199398,0,
199398,131121,0,
131121,199216,0,
199216,131121,0,
131121,130919,0,
130919,131121,0,
98356,98367,0,
98367,98356,0,
98356,98381,0,
98381,98356,0,
98356,98658,0,
98658,98356,0,
98356,98934,0,
98934,98356,0,
98356,98956,0,
98956,98356,0,
98356,96965,0,
98356,97508,0,
97508,98356,0,
98356,97916,0,
97916,98356,0,
163310,163849,0,
163896,163121,0,
163896,163793,0,
163900,165148,0,
