from_stop_id,to_stop_id,dist,from_route_id,to_route_id,schedule_precedence
65545,65588,0.22,,,
65588,65545,0.22,,,
65545,66021,0.3,,,
66021,65545,0.3,,,
64725,65545,0.3,,,
64322,65545,0.46,,,
65427,65545,0.04,,,
65555,66245,0.46,,,
66245,65555,0.46,,,
66252,65555,0.35,,,
66254,65555,0.32,,,
65555,66263,0.28,,,
66263,65555,0.28,,,
66270,65555,0.25,,,
65555,66275,0.29,,,
66275,65555,0.29,,,
65555,66278,0.32,,,
66278,65555,0.32,,,
65555,66286,0.43,,,
66286,65555,0.43,,,
66670,65555,0.38,,,
131095,131583,0.16,,,
131095,130369,0.27,,,
65564,65572,0.04,,,
65572,65564,0.04,,,
65771,65564,0.08,,,
65564,66275,0.43,,,
66275,65564,0.43,,,
65564,66278,0.39,,,
66278,65564,0.39,,,
65564,66286,0.29,,,
66286,65564,0.29,,,
66294,65564,0.25,,,
65564,66303,0.28,,,
66303,65564,0.28,,,
65564,66305,0.31,,,
66305,65564,0.31,,,
65564,66311,0.39,,,
66311,65564,0.39,,,
65564,66315,0.43,,,
66315,65564,0.43,,,
65564,64803,0.47,,,
64803,65564,0.47,,,
65564,65068,0.31,,,
65068,65564,0.31,,,
98333,183816,0.33,,,
183816,98333,0.33,,,
98333,97141,0.4,,,
97141,98333,0.4,,,
96813,98333,0.49,,,
98333,96838,0.45,,,
96838,98333,0.45,,,
98333,96841,0.46,,,
96841,98333,0.46,,,
97342,98333,0.33,,,
98333,97730,0.3,,,
97730,98333,0.3,,,
98333,98045,0.31,,,
98045,98333,0.31,,,
65771,65572,0.08,,,
65572,65870,0.47,,,
65870,65572,0.47,,,
65572,65599,0.46,,,
65599,65572,0.46,,,
66275,65572,0.47,,,
66278,65572,0.43,,,
66286,65572,0.32,,,
66294,65572,0.25,,,
65572,66303,0.26,,,
66303,65572,0.26,,,
65572,66305,0.29,,,
66305,65572,0.29,,,
65572,66311,0.36,,,
66311,65572,0.36,,,
65572,66315,0.39,,,
66315,65572,0.39,,,
65572,66367,0.27,,,
66367,65572,0.27,,,
65572,66688,0.38,,,
66688,65572,0.38,,,
65572,64670,0.33,,,
64670,65572,0.33,,,
65572,64888,0.25,,,
64888,65572,0.25,,,
65572,65241,0.48,,,
65241,65572,0.48,,,
