user_class  purpose  demand_mode_type  demand_mode  supply_mode  weight_name         weight_value
all         other    transfer          transfer     transfer     walk_time_min        0.0786
all         other    transfer          transfer     transfer     transfer_penalty     1.0546
all         other    access            walk         walk_access  time_min             0.0786
all         other    egress            walk         walk_egress  time_min             0.0786
all         other    transit           transit      local_bus    in_vehicle_time_min  0.02
all         other    transit           transit      local_bus    wait_time_min        0.0354
all         other    transit           transit      rapid_bus    in_vehicle_time_min  0.02
all         other    transit           transit      rapid_bus    wait_time_min        0.0354
all         other    transit           transit      heavy_rail   in_vehicle_time_min  0.02
all         other    transit           transit      heavy_rail   wait_time_min        0.0354
all         work     transfer          transfer     transfer     walk_time_min        0.0786
all         work     transfer          transfer     transfer     transfer_penalty     1.0546
all         work     access            walk         walk_access  time_min             0.0786
all         work     egress            walk         walk_egress  time_min             0.0786
all         work     transit           transit      local_bus    in_vehicle_time_min  0.02
all         work     transit           transit      local_bus    wait_time_min        0.0354
all         work     transit           transit      rapid_bus    in_vehicle_time_min  0.02
all         work     transit           transit      rapid_bus    wait_time_min        0.0354
all         work     transit           transit      heavy_rail   in_vehicle_time_min  0.02
all         work     transit           transit      heavy_rail   wait_time_min        0.0354
all         work     access            PNR          PNR_access   walk_time_min        0.04
all         work     access            PNR          PNR_access   drive_time_min       0.03
all         work     egress            PNR          PNR_egress   walk_time_min        0.04
all         work     egress            PNR          PNR_egress   drive_time_min       0.03
