user_class,purpose,demand_mode_type,demand_mode,supply_mode,weight_name,weight_value
real,meal,transfer,transfer,transfer,walk_time_min,2
real,meal,transfer,transfer,transfer,elevation_gain,0.2
real,meal,transfer,transfer,transfer,transfer_penalty,6
real,meal,access,walk,walk_access,preferred_delay_min,0.01
real,meal,access,walk,walk_access,time_min,2
real,meal,access,PNR,PNR_access,walk_time_min,2
real,meal,access,PNR,PNR_access,drive_time_min,1.5
real,meal,egress,walk,walk_egress,time_min,2
real,meal,egress,walk,walk_egress,preferred_delay_min,0.01
real,meal,egress,PNR,PNR_egress,walk_time_min,2
real,meal,egress,PNR,PNR_egress,drive_time_min,1.5
real,meal,transit,local_bus,local_bus,in_vehicle_time_min,1
real,meal,transit,local_bus,local_bus,wait_time_min,2
real,meal,transit,local_bus,local_bus,overcap,0.5
real,meal,transit,commuter_rail,local_bus,in_vehicle_time_min,1.5
real,meal,transit,commuter_rail,local_bus,wait_time_min,2
real,meal,transit,commuter_rail,local_bus,overcap,0.5
real,meal,transit,commuter_rail,rapid_bus,in_vehicle_time_min,1.5
real,meal,transit,commuter_rail,rapid_bus,wait_time_min,2
real,meal,transit,commuter_rail,rapid_bus,overcap,0.5
real,meal,transit,commuter_rail,heavy_rail,in_vehicle_time_min,1
real,meal,transit,commuter_rail,heavy_rail,wait_time_min,2
real,meal,transit,commuter_rail,heavy_rail,overcap,0.5
not_real,meal,transfer,transfer,transfer,walk_time_min,20
not_real,meal,transfer,transfer,transfer,elevation_gain,2
not_real,meal,transfer,transfer,transfer,transfer_penalty,60
not_real,meal,access,walk,walk_access,preferred_delay_min,0.1
not_real,meal,access,walk,walk_access,time_min,20
not_real,meal,access,PNR,PNR_access,preferred_delay_min,0.1
not_real,meal,access,PNR,PNR_access,walk_time_min,20
not_real,meal,access,PNR,PNR_access,drive_time_min,15
not_real,meal,egress,walk,walk_egress,time_min,20
not_real,meal,egress,PNR,PNR_egress,walk_time_min,20
not_real,meal,egress,PNR,PNR_egress,drive_time_min,15
not_real,meal,transit,local_bus,local_bus,in_vehicle_time_min,10
not_real,meal,transit,local_bus,local_bus,wait_time_min,20
not_real,meal,transit,local_bus,local_bus,overcap,5
not_real,meal,transit,commuter_rail,local_bus,in_vehicle_time_min,15
not_real,meal,transit,commuter_rail,local_bus,wait_time_min,20
not_real,meal,transit,commuter_rail,local_bus,overcap,5
not_real,meal,transit,commuter_rail,rapid_bus,in_vehicle_time_min,15
not_real,meal,transit,commuter_rail,rapid_bus,wait_time_min,20
not_real,meal,transit,commuter_rail,rapid_bus,overcap,5
not_real,meal,transit,commuter_rail,heavy_rail,in_vehicle_time_min,10
not_real,meal,transit,commuter_rail,heavy_rail,wait_time_min,20
not_real,meal,transit,commuter_rail,heavy_rail,overcap,5
real,personal_business,transfer,transfer,transfer,walk_time_min,2
real,personal_business,transfer,transfer,transfer,elevation_gain,0.2
real,personal_business,transfer,transfer,transfer,transfer_penalty,6
real,personal_business,access,walk,walk_access,preferred_delay_min,0.01
real,personal_business,access,walk,walk_access,time_min,2
real,personal_business,access,PNR,PNR_access,walk_time_min,2
real,personal_business,access,PNR,PNR_access,drive_time_min,1.5
real,personal_business,egress,walk,walk_egress,time_min,2
real,personal_business,egress,walk,walk_egress,preferred_delay_min,0.01
real,personal_business,egress,PNR,PNR_egress,walk_time_min,2
real,personal_business,egress,PNR,PNR_egress,drive_time_min,1.5
real,personal_business,transit,local_bus,local_bus,in_vehicle_time_min,1
real,personal_business,transit,local_bus,local_bus,wait_time_min,2
real,personal_business,transit,local_bus,local_bus,overcap,0.5
real,personal_business,transit,commuter_rail,local_bus,in_vehicle_time_min,1.5
real,personal_business,transit,commuter_rail,local_bus,wait_time_min,2
real,personal_business,transit,commuter_rail,local_bus,overcap,0.5
real,personal_business,transit,commuter_rail,rapid_bus,in_vehicle_time_min,1.5
real,personal_business,transit,commuter_rail,rapid_bus,wait_time_min,2
real,personal_business,transit,commuter_rail,rapid_bus,overcap,0.5
real,personal_business,transit,commuter_rail,heavy_rail,in_vehicle_time_min,1
real,personal_business,transit,commuter_rail,heavy_rail,wait_time_min,2
real,personal_business,transit,commuter_rail,heavy_rail,overcap,0.5
not_real,personal_business,transfer,transfer,transfer,walk_time_min,20
not_real,personal_business,transfer,transfer,transfer,elevation_gain,2
not_real,personal_business,transfer,transfer,transfer,transfer_penalty,60
not_real,personal_business,access,walk,walk_access,preferred_delay_min,0.1
not_real,personal_business,access,walk,walk_access,time_min,20
not_real,personal_business,access,PNR,PNR_access,preferred_delay_min,0.1
not_real,personal_business,access,PNR,PNR_access,walk_time_min,20
not_real,personal_business,access,PNR,PNR_access,drive_time_min,15
not_real,personal_business,egress,walk,walk_egress,time_min,20
not_real,personal_business,egress,PNR,PNR_egress,walk_time_min,20
not_real,personal_business,egress,PNR,PNR_egress,drive_time_min,15
not_real,personal_business,transit,local_bus,local_bus,in_vehicle_time_min,10
not_real,personal_business,transit,local_bus,local_bus,wait_time_min,20
not_real,personal_business,transit,local_bus,local_bus,overcap,5
not_real,personal_business,transit,commuter_rail,local_bus,in_vehicle_time_min,15
not_real,personal_business,transit,commuter_rail,local_bus,wait_time_min,20
not_real,personal_business,transit,commuter_rail,local_bus,overcap,5
not_real,personal_business,transit,commuter_rail,rapid_bus,in_vehicle_time_min,15
not_real,personal_business,transit,commuter_rail,rapid_bus,wait_time_min,20
not_real,personal_business,transit,commuter_rail,rapid_bus,overcap,5
not_real,personal_business,transit,commuter_rail,heavy_rail,in_vehicle_time_min,10
not_real,personal_business,transit,commuter_rail,heavy_rail,wait_time_min,20
not_real,personal_business,transit,commuter_rail,heavy_rail,overcap,5
