hh_id,hh_vehicles,hh_income,hh_size,hh_workers,hh_presch,hh_grdsch,hh_hghsch,hh_elders
27,0,833,3,3,0,0,,0
73,1,123396,1,1,0,0,,1
118,2,71145,2,2,0,0,,2
62,1,1361,2,2,0,0,,0
178,2,65648,1,1,0,0,,0
65,3,79977,10,10,0,0,,0
50,2,93466,4,4,0,2,,0
229,3,95190,2,2,0,0,,1
201,2,229768,2,2,0,0,,0
308,1,479250,5,5,0,3,,0
310,2,255132,5,5,0,0,,2
230,2,87785,2,2,0,0,,1
335,3,161449,3,3,0,0,,0
265,2,108548,2,2,0,0,,0
364,2,63900,2,2,0,0,,0
348,4,523373,2,2,0,0,,2
382,3,133875,4,4,0,0,,2
394,4,189581,4,4,0,0,,2
306,2,0,2,2,0,0,,0
428,2,210293,2,2,0,0,,0
437,2,121549,1,1,0,0,,0
598,0,3912,2,2,0,0,,0
480,2,143365,4,4,0,2,,0
330,4,323702,6,6,0,2,,2
475,3,189581,4,4,0,0,,2
645,2,36102,2,2,0,0,,0
493,4,148430,9,9,0,0,,0
553,0,9257,1,1,0,0,,1
724,0,6431,1,1,0,0,,1
647,0,1269,2,2,0,0,,0
586,1,12062,3,3,0,0,,0
633,2,8672,3,3,0,0,,0
928,0,13604,2,2,0,0,,0
569,0,13021,1,1,0,0,,1
743,0,2017,2,2,0,0,,0
708,0,0,1,1,0,0,,0
798,1,57367,1,1,0,0,,0
683,0,8192,1,1,0,0,,0
861,0,5142,1,1,0,0,,0
887,0,857,3,3,0,0,,0
1072,1,53043,2,2,0,0,,0
579,0,12326,1,1,0,0,,1
1054,1,57989,3,3,1,0,,0
758,1,114960,1,1,0,0,,0
992,0,209752,2,2,0,0,,2
747,0,2319,2,2,0,0,,0
762,1,156519,1,1,0,0,,0
1102,3,124184,4,4,0,0,,0
1084,4,92050,2,2,0,0,,1
929,4,39109,5,5,0,0,,0
1029,3,6010,4,4,0,0,,0
722,0,11562,1,1,0,0,,1
1065,0,121451,2,2,0,0,,0
1105,1,154348,4,4,1,0,,0
1129,2,250060,3,3,0,0,,0
1342,0,0,1,1,0,0,,0
1116,3,148430,9,9,0,0,,0
1177,3,267233,2,2,0,0,,0
1125,2,119812,3,3,0,0,,0
1196,2,144487,2,2,0,0,,0
1552,0,40104,1,1,0,0,,0
1327,0,4034,1,1,0,0,,0
1225,0,3291,4,4,1,1,,0
1010,0,0,2,2,0,0,,0
1186,1,35559,2,2,0,0,,0
1243,2,39026,2,2,0,0,,0
1444,1,35778,1,1,0,0,,0
1169,2,44860,2,2,0,0,,0
1210,0,44860,4,4,0,2,,0
1268,3,209549,6,6,0,2,,0
1267,2,44697,3,3,0,0,,0
1203,4,9396,5,5,0,0,,0
1496,0,37816,2,2,0,0,,2
1543,1,37173,1,1,0,0,,0
1564,0,30721,1,1,0,0,,0
1238,2,95936,3,3,0,0,,0
1277,4,17187,9,9,0,0,,0
1299,0,15361,1,1,0,0,,0
1664,1,116833,2,2,1,0,,0
1710,2,70659,3,3,1,0,,0
1397,0,187,1,1,0,0,,0
1347,0,0,1,1,0,0,,0
1331,0,0,1,1,0,0,,0
1603,0,74401,1,1,0,0,,0
1556,0,41666,1,1,0,0,,0
1587,1,71874,1,1,0,0,,0
1888,2,209549,6,6,0,2,,0
1753,1,199548,2,2,1,0,,0
1595,1,69635,1,1,0,0,,0
