purpose      user_class  demand_mode_type  demand_mode  supply_mode   weight_name             weight_value
work         lowinc      transfer          transfer     transfer      walk_time_min           2.0
work         lowinc      transfer          transfer     transfer      transfer_penalty        12.0
work         lowinc      access            walk         walk_access   preferred_delay_min     1.2
work         lowinc      access            walk         walk_access   time_min                2.0
work         lowinc      access            PNR          PNR_access    walk_time_min           2.0
work         lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
work         lowinc      egress            walk         walk_egress   time_min                2.0
work         lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
work         lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
work         lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
work         lowinc      transit           transit      local_bus     wait_time_min           2.5
work         lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
work         lowinc      transit           transit      rapid_bus     wait_time_min           2.0
work         lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
work         lowinc      transit           transit      heavy_rail    wait_time_min           2.0
work         medhighinc  transfer          transfer     transfer      walk_time_min           2.9
work         medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
work         medhighinc  access            walk         walk_access   preferred_delay_min     1.9
work         medhighinc  access            walk         walk_access   time_min                2.1
work         medhighinc  access            PNR          PNR_access    walk_time_min           2.1
work         medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
work         medhighinc  egress            walk         walk_egress   time_min                2.1
work         medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
work         medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
work         medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
work         medhighinc  transit           transit      local_bus     wait_time_min           2.9
work         medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
work         medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
work         medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
work         medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
school       lowinc      transfer          transfer     transfer      walk_time_min           2.0
school       lowinc      transfer          transfer     transfer      transfer_penalty        12.0
school       lowinc      access            walk         walk_access   preferred_delay_min     1.2
school       lowinc      access            walk         walk_access   time_min                2.0
school       lowinc      access            PNR          PNR_access    walk_time_min           2.0
school       lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
school       lowinc      egress            walk         walk_egress   time_min                2.0
school       lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
school       lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
school       lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
school       lowinc      transit           transit      local_bus     wait_time_min           2.5
school       lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
school       lowinc      transit           transit      rapid_bus     wait_time_min           2.0
