person_id,hh_id,age,gender,work_status,work_at_home,multiple_jobs,transit_pass,disability
27_1,27,20,female,unemployed,0,none,1,none
73_1,73,79,male,unemployed,0,none,0,none
118_1,118,79,female,unemployed,0,none,0,none
62_2,62,18,female,unemployed,0,none,1,none
178_1,178,59,female,full-time,0,none,1,none
65_4,65,21,female,full-time,0,none,1,none
50_3,50,12,male,unemployed,0,none,0,none
229_1,229,51,female,full-time,0,none,0,none
201_1,201,56,male,full-time,0,none,1,none
308_5,308,6,male,unemployed,0,none,0,none
310_3,310,20,female,unemployed,0,none,1,none
230_2,230,60,female,full-time,0,none,1,none
335_3,335,24,female,full-time,0,none,0,none
265_2,265,43,female,full-time,0,none,1,none
364_2,364,63,male,full-time,0,none,1,none
348_1,348,76,male,full-time,0,none,1,none
382_4,382,88,male,unemployed,0,none,0,none
394_1,394,44,male,full-time,0,none,0,none
306_2,306,20,male,unemployed,0,none,1,none
428_1,428,57,male,full-time,0,none,0,none
437_1,437,53,male,full-time,0,none,1,none
598_1,598,49,male,unemployed,0,none,0,none
480_3,480,8,male,unemployed,0,none,0,none
330_4,330,6,female,unemployed,0,none,0,none
475_1,475,44,male,full-time,0,none,1,none
645_2,645,23,female,full-time,0,none,1,none
493_1,493,27,male,full-time,0,none,0,none
553_1,553,69,male,unemployed,0,none,0,none
724_1,724,68,female,unemployed,0,none,0,none
647_1,647,21,male,full-time,0,none,1,none
586_3,586,19,male,unemployed,0,none,1,none
633_2,633,22,female,full-time,0,none,0,none
928_1,928,23,female,unemployed,0,none,1,none
569_1,569,87,female,unemployed,0,none,0,none
743_1,743,24,male,unemployed,0,none,0,none
708_1,708,58,male,unemployed,0,none,0,none
798_1,798,56,male,full-time,0,none,0,none
683_1,683,60,female,unemployed,0,none,0,none
861_1,861,22,male,full-time,0,none,0,none
887_2,887,19,female,unemployed,0,none,1,none
1072_1,1072,54,female,full-time,0,none,0,none
579_1,579,65,male,unemployed,0,none,0,none
1054_1,1054,29,male,full-time,0,none,1,none
758_1,758,58,male,full-time,0,none,1,none
992_1,992,68,female,unemployed,0,none,0,none
747_2,747,18,male,unemployed,0,none,1,none
762_1,762,52,male,full-time,0,none,0,none
1102_3,1102,29,male,full-time,0,none,1,none
1084_2,1084,33,female,full-time,0,none,1,none
929_1,929,23,male,full-time,0,none,1,none
1029_1,1029,20,female,full-time,0,none,1,none
722_1,722,80,male,unemployed,0,none,0,none
1065_2,1065,53,female,full-time,0,none,0,none
1105_1,1105,44,female,full-time,0,none,1,none
1129_1,1129,55,female,full-time,0,none,1,none
1342_1,1342,22,female,unemployed,0,none,1,none
1116_8,1116,22,male,unemployed,0,none,1,none
1177_1,1177,63,female,full-time,0,none,1,none
1125_3,1125,35,male,full-time,0,none,0,none
1196_1,1196,49,female,full-time,0,none,1,none
1552_1,1552,44,female,full-time,0,none,0,none
1327_1,1327,31,male,unemployed,0,none,0,none
1225_4,1225,2,male,unemployed,0,none,0,none
1010_1,1010,32,male,unemployed,0,none,1,none
1186_1,1186,50,male,full-time,0,none,0,none
1243_1,1243,25,male,full-time,0,none,1,none
1444_1,1444,28,female,unemployed,0,none,1,none
1169_1,1169,32,female,full-time,0,none,1,none
1210_2,1210,52,female,full-time,0,none,1,none
1210_1,1210,50,male,full-time,0,none,1,none
1268_4,1268,13,male,unemployed,0,none,0,none
1267_2,1267,27,male,full-time,0,none,1,none
1203_5,1203,19,female,unemployed,0,none,1,none
1496_2,1496,73,female,unemployed,0,none,0,none
1543_1,1543,34,male,full-time,0,none,1,none
1564_1,1564,57,female,full-time,1,none,0,none
1238_1,1238,39,male,full-time,0,none,1,none
1277_7,1277,21,female,unemployed,0,none,0,none
1299_1,1299,21,male,unemployed,0,none,1,none
1664_1,1664,38,female,full-time,0,none,1,none
1710_1,1710,28,female,full-time,0,none,0,none
1397_1,1397,45,female,full-time,0,none,0,none
1347_1,1347,60,male,unemployed,0,none,0,none
1331_1,1331,27,female,unemployed,0,none,1,none
1603_1,1603,33,male,full-time,0,none,1,none
1556_1,1556,50,female,full-time,1,none,1,none
1587_1,1587,55,female,full-time,0,none,0,none
1888_6,1888,16,male,unemployed,0,none,1,none
1753_1,1753,46,female,unemployed,0,none,0,none
1595_1,1595,45,male,full-time,0,none,0,none
