person_id,person_trip_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,timePeriod,time_target,vot
27_1,3,296,23,walk-transit-walk,social,8:04:00,8:38:00,AM,arrival,3
73_1,1,19,617,walk-transit-walk,social,8:13:00,9:16:00,AM,arrival,7
178_1,4,49,305,walk-transit-walk,work,8:28:00,9:04:00,AM,arrival,31
65_4,2,3767,1897,PNR-transit-walk,work,8:44:00,8:55:00,AM,arrival,17
229_1,1,19,5,walk-transit-walk,work,8:35:00,9:09:00,AM,arrival,22
201_1,3,181,578,walk-transit-walk,work,8:11:00,8:36:00,AM,arrival,33
335_3,1,20,305,walk-transit-walk,work,8:31:00,9:16:00,AM,arrival,22
265_2,2,1863,23,walk-transit-walk,social,8:10:00,8:31:00,AM,arrival,15
364_2,2,3823,2589,PNR-transit-walk,work,8:17:00,8:44:00,AM,arrival,27
348_1,1,19,432,walk-transit-walk,work,8:06:00,9:06:00,AM,arrival,17
394_1,1,19,403,walk-transit-walk,work,8:36:00,9:37:00,AM,arrival,16
428_1,1,20,294,walk-transit-walk,work,8:58:00,9:34:00,AM,arrival,10
437_1,1,19,305,walk-transit-walk,work,8:34:00,9:21:00,AM,arrival,35
475_1,2,3822,432,PNR-transit-walk,work,8:28:00,8:52:00,AM,arrival,15
645_2,2,9,304,walk-transit-walk,work,8:03:00,8:29:00,AM,arrival,8
647_1,1,17,75,walk-transit-walk,work,8:26:00,9:02:00,AM,arrival,3
633_2,1,17,25,walk-transit-walk,work,8:49:00,9:06:00,AM,arrival,4
798_1,5,527,505,walk-transit-walk,work,8:25:00,8:30:00,AM,arrival,19
1072_1,1,17,182,walk-transit-walk,work,8:09:00,8:40:00,AM,arrival,5
1054_1,1,17,287,walk-transit-walk,work,8:17:00,8:49:00,AM,arrival,12
758_1,1,19,931,walk-transit-walk,social,8:33:00,10:01:00,AM,arrival,2
762_1,4,1812,17,walk-transit-walk,work,8:35:00,8:51:00,AM,arrival,7
1102_3,3,304,631,walk-transit-walk,work,8:29:00,8:52:00,AM,arrival,43
1084_2,1,19,539,walk-transit-walk,work,8:09:00,8:49:00,AM,arrival,18
1029_1,3,305,51,walk-transit-walk,work,8:30:00,8:53:00,AM,arrival,2
1105_1,1,17,2526,walk-transit-walk,work,8:45:00,9:42:00,AM,arrival,18
1129_1,2,3823,528,PNR-transit-walk,work,8:58:00,9:18:00,AM,arrival,92
1177_1,3,17,305,walk-transit-walk,work,8:04:00,8:43:00,AM,arrival,26
1125_3,3,173,532,walk-transit-walk,work,8:12:00,8:40:00,AM,arrival,31
1196_1,2,50,94,walk-transit-walk,work,8:16:00,8:39:00,AM,arrival,17
1196_1,3,94,428,walk-transit-walk,work,8:59:00,9:32:00,AM,arrival,17
1186_1,3,48,220,walk-transit-walk,work,8:15:00,8:33:00,AM,arrival,17
1243_1,1,17,521,walk-transit-walk,work,8:17:00,8:57:00,AM,arrival,47
1444_1,1,20,1863,walk-transit-walk,social,8:07:00,8:27:00,AM,arrival,8
1210_2,1,19,432,walk-transit-walk,work,8:04:00,8:51:00,AM,arrival,18
1210_1,1,19,2561,walk-transit-walk,social,8:43:00,9:31:00,AM,arrival,3
1267_2,2,52,304,walk-transit-walk,work,8:00:00,8:36:00,AM,arrival,14
1543_1,2,3822,584,PNR-transit-walk,work,8:13:00,8:29:00,AM,arrival,15
1664_1,4,95,514,walk-transit-walk,work,8:52:00,9:34:00,AM,arrival,20
1710_1,1,20,1617,walk-transit-walk,work,8:42:00,9:49:00,AM,arrival,11
1603_1,4,1812,1548,walk-transit-walk,work,8:48:00,9:55:00,AM,arrival,9
1556_1,3,20,2376,walk-transit-walk,work,8:48:00,10:54:00,AM,arrival,5
1587_1,1,20,296,walk-transit-walk,work,8:28:00,8:57:00,AM,arrival,8
1595_1,1,20,1603,walk-transit-walk,work,8:15:00,9:08:00,AM,arrival,22
