,A_id,A_id_num,A_lat,A_lon,A_seq,A_zone_id,B_id,B_id_num,B_lat,B_lon,B_seq,B_zone_id,board_state,bump_iter,linkmode,linknum,mode,mode_num,pathnum,person_id,person_trip_id,pf_A_time,pf_B_time,pf_iteration,pf_linkcost,pf_linkdist,pf_linkfare,pf_linktime,pf_waittime,route_id,trace,trip_id,trip_id_num,trip_list_id_num,fare,fare_period,from_fare_period,transfer_fare_type,transfer_fare,free_transfer,distance,sim_cost,chosen,board_time,overcap,overcap_frac,alight_time,alight_delay_min,new_A_time,new_B_time,new_linktime,new_waittime,missed_xfer
0,Z1,11,,,-1,,B0,5,37.779996,-122.48799,-1,,,,access,0,walk_access,101.0,0,frogger,1,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,4.01,17.7777777778,0.4,0.0,0 days 00:08:53.333333000,,,True,,,1,0.0,,,,,,0.4,17.7777777778,iter4.01 sim0,,,,,0.0,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,0 days 00:08:53.333333000,,0
1,B0,5,37.779996,-122.48799,1,,B2,7,37.780689,-122.472314,3,,boarded,,transit,1,local_bus,301.0,0,frogger,1,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.000000,4.01,15.5058823529,0.857441451554,2.0,0 days 00:07:12.000000000,0 days 00:00:00.000000000,A,True,t20,67.0,1,2.0,bus_local_fare_default,,,,0.0,0.857441451554,15.5297490279,iter4.01 sim0,2016-01-01 17:30:00.000000,0.0,0.0,2016-01-01 17:37:12.954667,0.0159111166667,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.954667,0 days 00:07:12.954667000,0 days 00:00:00.000000000,0
2,B2,7,37.780689,-122.472314,-1,,R2,2,37.780689,-122.472314,-1,,,,transfer,2,transfer,1.0,0,frogger,1,2016-01-01 17:37:12.000000,2016-01-01 17:39:25.333333,4.01,14.4444444444,0.1,0.0,0 days 00:02:13.333333000,,,True,,,1,0.0,,,,,,0.1,14.4444444333,iter4.01 sim0,,,,,0.0,2016-01-01 17:37:12.954667,2016-01-01 17:39:26.288000,0 days 00:02:13.333333000,,0
3,R2,2,37.780689,-122.472314,2,,R3,3,37.773182,-122.471829,3,,board_easy,,transit,3,heavy_rail,302.0,0,frogger,1,2016-01-01 17:39:25.333333,2016-01-01 17:45:04.000000,4.01,16.5241830065,0.519391440659,3.5,0 days 00:05:38.666667000,0 days 00:02:38.666667000,C,True,t151,43.0,1,3.5,rail_fare_class,bus_local_fare_default,transfer_discount,0.5,0.0,0.519391440659,16.4923607843,iter4.01 sim0,2016-01-01 17:42:04.000000,-2.0,-0.142857142857,2016-01-01 17:45:04.000000,0.0,2016-01-01 17:39:26.288000,2016-01-01 17:45:04.000000,0 days 00:05:37.712000000,0 days 00:02:37.712000000,0
4,R3,3,37.773182,-122.471829,-1,,Z5,15,,,-1,,,,egress,4,walk_egress,201.0,0,frogger,1,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,4.01,26.726888889,0.601,0.0,0 days 00:13:21.333333000,,,True,,,1,0.0,,,,,,0.601,26.7268888889,iter4.01 sim0,,,,,0.0,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,0 days 00:13:21.333333000,,0
5,Z1,11,,,-1,,B0,5,37.779996,-122.48799,-1,,,,access,0,walk_access,101.0,1,frogger,1,2016-01-01 17:13:06.666667,2016-01-01 17:22:00.000000,4.01,17.7777777778,0.4,0.0,0 days 00:08:53.333333000,,,True,,,1,0.0,,,,,,0.4,17.7777777778,unchosen,,,,,0.0,2016-01-01 17:13:06.666667,2016-01-01 17:22:00.000000,0 days 00:08:53.333333000,,0
6,B0,5,37.779996,-122.48799,1,,B2,7,37.780689,-122.472314,3,,bumped_unchosen,0.0,transit,1,local_bus,301.0,1,frogger,1,2016-01-01 17:22:00.000000,2016-01-01 17:29:12.000000,4.01,15.5058823529,0.857441451554,2.0,0 days 00:07:12.000000000,0 days 00:00:00.000000000,A,True,t19,53.0,1,2.0,bus_local_fare_default,,,,0.0,0.857441451554,20013.529749,unchosen,2016-01-01 17:22:00.000000,0.0,0.0,2016-01-01 17:29:12.954667,0.0159111166667,2016-01-01 17:22:00.000000,2016-01-01 17:29:12.954667,0 days 00:07:12.954667000,0 days 00:00:00.000000000,0
7,B2,7,37.780689,-122.472314,-1,,R2,2,37.780689,-122.472314,-1,,,,transfer,2,transfer,1.0,1,frogger,1,2016-01-01 17:29:12.000000,2016-01-01 17:31:25.333333,4.01,14.4444444444,0.1,0.0,0 days 00:02:13.333333000,,,True,,,1,0.0,,,,,,0.1,14.4444444333,unchosen,,,,,0.0,2016-01-01 17:29:12.954667,2016-01-01 17:31:26.288000,0 days 00:02:13.333333000,,0
8,R2,2,37.780689,-122.472314,2,,R3,3,37.773182,-122.471829,3,,,,transit,3,heavy_rail,302.0,1,frogger,1,2016-01-01 17:31:25.333333,2016-01-01 17:45:04.000000,4.01,32.5241830065,0.519391440659,3.5,0 days 00:13:38.666667000,0 days 00:10:38.666667000,C,True,t151,43.0,1,3.5,rail_fare_class,bus_local_fare_default,transfer_discount,0.5,0.0,0.519391440659,32.4923607843,unchosen,2016-01-01 17:42:04.000000,-2.0,-0.142857142857,2016-01-01 17:45:04.000000,0.0,2016-01-01 17:31:26.288000,2016-01-01 17:45:04.000000,0 days 00:13:37.712000000,0 days 00:10:37.712000000,0
9,R3,3,37.773182,-122.471829,-1,,Z5,15,,,-1,,,,egress,4,walk_egress,201.0,1,frogger,1,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,4.01,26.726888889,0.601,0.0,0 days 00:13:21.333333000,,,True,,,1,0.0,,,,,,0.601,26.7268888889,unchosen,,,,,0.0,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,0 days 00:13:21.333333000,,0
10,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,0,marge,1,2016-01-01 15:05:00.000000,2016-01-01 15:10:00.000000,4.01,75.4,0.75,0.0,0 days 00:05:00.000000000,,,True,,,2,0.0,,,,,,0.75,75.4,unchosen,,,,,0.0,2016-01-01 15:05:00.000000,2016-01-01 15:10:00.000000,0 days 00:05:00.000000000,,0
