,bump_iter,chosen,description,pathdir,pathmode,pathnum,person_id,person_trip_id,pf_cost,pf_fare,pf_initcost,pf_initfare,pf_iteration,pf_probability,trace,trip_list_id_num,sim_cost,ln_PS,logsum_component,logsum,probability,missed_xfer
0,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,frogger,1,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,True,1,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
1,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,frogger,1,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,True,1,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
2,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,marge,1,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,True,2,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
3,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,marge,1,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,True,2,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
4,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,marge,1,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,True,2,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
5,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,marge,1,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,True,2,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
6,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,marge,1,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,True,2,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
7,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,1,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,3,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
8,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,1,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,3,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
9,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,1,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,4,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
