route_id,mode,proof_of_payment
AB,local_bus,FALSE
AC,local_bus,FALSE
BC1,local_bus,FALSE
BC2,local_bus,FALSE
BC3,local_bus,FALSE
BC4,local_bus,FALSE
BC5,local_bus,FALSE
BC6,local_bus,FALSE
BC7,local_bus,FALSE
BC8,local_bus,FALSE
BC9,local_bus,FALSE
BC10,local_bus,FALSE
BC11,local_bus,FALSE
BC12,local_bus,FALSE
BC13,local_bus,FALSE
BC14,local_bus,FALSE
BC15,local_bus,FALSE
BC16,local_bus,FALSE
BC17,local_bus,FALSE
BC18,local_bus,FALSE
BC19,local_bus,FALSE
BC20,local_bus,FALSE
BC21,local_bus,FALSE
BC22,local_bus,FALSE
