trip_id,stop_id
t1,B0
t1,B1
t1,B2
t1,B3
t1,B4
t2,B0
t2,B1
t2,B2
t2,B3
t2,B4
t3,B0
t3,B1
t3,B2
t3,B3
t3,B4
t4,B0
t4,B1
t4,B2
t4,B3
t4,B4
t5,B0
t5,B1
t5,B2
t5,B3
t5,B4
t6,B0
t6,B1
t6,B2
t6,B3
t6,B4
t7,B0
t7,B1
t7,B2
t7,B3
t7,B4
t8,B0
t8,B1
t8,B2
t8,B3
t8,B4
t9,B0
t9,B1
t9,B2
t9,B3
t9,B4
t10,B0
t10,B1
t10,B2
t10,B3
t10,B4
t11,B0
t11,B1
t11,B2
t11,B3
t11,B4
t12,B0
t12,B1
t12,B2
t12,B3
t12,B4
t13,B0
t13,B1
t13,B2
t13,B3
t13,B4
t14,B0
t14,B1
t14,B2
t14,B3
t14,B4
t15,B0
t15,B1
t15,B2
t15,B3
t15,B4
t16,B0
t16,B1
t16,B2
t16,B3
t16,B4
t17,B0
t17,B1
t17,B2
t17,B3
t17,B4
t18,B0
t18,B1
t18,B2
t18,B3
t18,B4
t19,B0
t19,B1
t19,B2
t19,B3
t19,B4
t20,B0
t20,B1
t20,B2
t20,B3
t20,B4
t21,B0
t21,B1
t21,B2
t21,B3
t21,B4
t22,B0
t22,B1
t22,B2
t22,B3
t22,B4
t23,B0
t23,B1
t23,B2
t23,B3
t23,B4
t24,B0
t24,B1
t24,B2
t24,B3
t24,B4
t25,B0
t25,B1
t25,B2
t25,B3
t25,B4
t26,B0
t26,B1
t26,B2
t26,B3
t26,B4
t27,B0
t27,B1
t27,B2
t27,B3
t27,B4
t28,B0
t28,B1
t28,B2
t28,B3
t28,B4
t29,B0
t29,B1
t29,B2
t29,B3
t29,B4
t30,B0
t30,B1
t30,B2
t30,B3
t30,B4
t31,B0
t31,B1
t31,B2
t31,B3
t31,B4
t32,B0
t32,B1
t32,B2
t32,B3
t32,B4
t33,B0
t33,B1
t33,B2
t33,B3
t33,B4
t34,B0
t34,B1
t34,B2
t34,B3
t34,B4
t35,B0
t35,B1
t35,B2
t35,B3
t35,B4
t36,B0
t36,B1
t36,B2
t36,B3
t36,B4
t37,B0
t37,B1
t37,B2
t37,B3
t37,B4
t38,B0
t38,B1
t38,B2
t38,B3
t38,B4
t39,B0
t39,B1
t39,B2
t39,B3
t39,B4
t40,B0
t40,B1
t40,B2
t40,B3
t40,B4
t41,B0
t41,B1
t41,B2
t41,B3
t41,B4
t42,B0
t42,B1
t42,B2
t42,B3
t42,B4
t43,B0
t43,B1
t43,B2
t43,B3
t43,B4
t44,B0
t44,B1
t44,B2
t44,B3
t44,B4
t45,B1
t45,B2
t46,B1
t46,B2
t47,B1
t47,B2
t48,B1
t48,B2
t49,B1
t49,B2
t50,B1
t50,B2
t51,B1
t51,B2
t52,B1
t52,B2
t53,B1
t53,B2
t54,B1
t54,B2
t55,B1
t55,B2
t56,B1
t56,B2
t57,B1
t57,B2
t58,B1
t58,B2
t59,B1
t59,B2
t60,B1
t60,B2
t61,B1
t61,B2
t62,B1
t62,B2
t63,B1
t63,B2
t64,B1
t64,B2
t65,B1
t65,B2
t66,B1
t66,B2
t67,B1
t67,B2
t68,B1
t68,B2
t69,B1
t69,B2
t70,B1
t70,B2
t71,B1
t71,B2
t72,B1
t72,B2
t73,B1
t73,B2
t74,B1
t74,B2
t75,B1
t75,B2
t76,B1
t76,B2
t77,B1
t77,B2
t78,B1
t78,B2
t79,B1
t79,B2
t80,B1
t80,B2
t81,B1
t81,B2
t82,B1
t82,B2
t83,B1
t83,B2
t84,B1
t84,B2
t85,B1
t85,B2
t86,B1
t86,B2
t87,B1
t87,B2
t88,B1
t88,B2
t89,B1
t89,B2
t90,B1
t90,B2
t91,B1
t91,B2
t92,B1
t92,B2
t93,B1
t93,B2
t94,B1
t94,B2
t95,B1
t95,B2
t96,B1
t96,B2
t97,B1
t97,B2
t98,B1
t98,B2
t99,B1
t99,B2
t100,B1
t100,B2
t101,B1
t101,B2
t102,B1
t102,B2
t103,B1
t103,B2
t104,B1
t104,B2
t105,B1
t105,B2
t106,B1
t106,B2
t107,B1
t107,B2
t108,B1
t108,B2
t109,B1
t109,B2
t110,B1
t110,B2
t111,B1
t111,B2
t112,B1
t112,B2
t113,B1
t113,B2
t114,B1
t114,B2
t115,B1
t115,B2
t116,B1
t116,B2
t117,B1
t117,B2
